Country,Clicks,Impressions,CTR,Position
Botswana,0,10,0%,9.4
Fiji,0,9,0%,7.56
Bermuda,0,9,0%,8.11
Guyana,0,8,0%,6.88
Togo,0,8,0%,8.88
Curaçao,0,8,0%,10.25
Sierra Leone,0,8,0%,11.5
Rwanda,0,8,0%,18
Somalia,0,8,0%,20.38
Cuba,0,7,0%,11.86
Benin,0,7,0%,16.29
Réunion,0,7,0%,19.43
Antigua & Barbuda,0,6,0%,5.33
St. Lucia,0,6,0%,5.67
Bhutan,0,6,0%,6.5
Congo - Kinshasa,0,6,0%,6.83
St. Kitts & Nevis,0,6,0%,9.17
Cameroon,0,6,0%,18
Guadeloupe,0,5,0%,3.8
Turkmenistan,0,5,0%,5.8
Grenada,0,5,0%,28.6
Aruba,0,4,0%,3.75
Cook Islands,0,4,0%,5.25
Gabon,0,4,0%,7.5
St. Vincent & Grenadines,0,4,0%,8
South Sudan,0,3,0%,4
Liberia,0,3,0%,4.67
Papua New Guinea,0,3,0%,5.67
New Caledonia,0,3,0%,8
Haiti,0,3,0%,8.33
Dominica,0,3,0%,11.33
Suriname,0,3,0%,12.33
Mali,0,2,0%,3.5
Palau,0,2,0%,5
Åland Islands,0,2,0%,5.5
Congo - Brazzaville,0,2,0%,6.5
Turks & Caicos Islands,0,2,0%,6.5
Lesotho,0,2,0%,7
Niger,0,2,0%,8
Burkina Faso,0,2,0%,8.5
Martinique,0,2,0%,9
Afghanistan,0,2,0%,11
Yemen,0,2,0%,36
Swaziland,0,2,0%,44.5
Western Sahara,0,2,0%,68.5
São Tomé & Príncipe,0,1,0%,1
Micronesia,0,1,0%,2
Vanuatu,0,1,0%,2
Gambia,0,1,0%,3
Anguilla,0,1,0%,4
Djibouti,0,1,0%,4
Guinea,0,1,0%,4
Marshall Islands,0,1,0%,4
Caribbean Netherlands,0,1,0%,6
St. Barthélemy,0,1,0%,6
French Polynesia,0,1,0%,6
Greenland,0,1,0%,9
Sudan,0,1,0%,9
Sint Maarten,0,1,0%,9
Tajikistan,0,1,0%,9
British Virgin Islands,0,1,0%,9
Faroe Islands,0,1,0%,10
Burundi,0,1,0%,13
