Date,Clicks,Impressions,CTR,Position
2025-05-07,74,815,9.08%,6.91
2025-05-06,110,961,11.45%,6.33
2025-05-05,89,1050,8.48%,6.67
2025-05-04,85,947,8.98%,6.38
2025-05-03,73,842,8.67%,6.05
2025-05-02,53,725,7.31%,6.91
2025-05-01,70,804,8.71%,6.42
2025-04-30,63,685,9.2%,6.08
2025-04-29,52,703,7.4%,6.96
2025-04-28,55,638,8.62%,6.26
2025-04-27,56,672,8.33%,7.13
2025-04-26,56,668,8.38%,6.76
2025-04-25,43,585,7.35%,6.94
2025-04-24,43,625,6.88%,6.63
2025-04-23,50,806,6.2%,7.52
2025-04-22,54,736,7.34%,7.03
2025-04-21,50,762,6.56%,7.24
2025-04-20,39,650,6%,7.38
2025-04-19,47,667,7.05%,7.21
2025-04-18,58,633,9.16%,7.27
2025-04-17,31,480,6.46%,6.95
2025-04-16,42,534,7.87%,6.55
2025-04-15,30,431,6.96%,7.1
2025-04-14,38,487,7.8%,8.15
2025-04-13,34,485,7.01%,7.36
2025-04-12,41,531,7.72%,8.43
2025-04-11,49,452,10.84%,6.67
2025-04-10,26,410,6.34%,6.86
2025-04-09,29,485,5.98%,7.6
2025-04-08,37,574,6.45%,7.57
2025-04-07,45,732,6.15%,8.14
2025-04-06,48,586,8.19%,7.98
2025-04-05,33,487,6.78%,7.06
2025-04-04,20,462,4.33%,8.2
2025-04-03,19,436,4.36%,8.34
2025-04-02,21,426,4.93%,7.61
2025-04-01,13,436,2.98%,8.37
2025-03-31,14,378,3.7%,7.43
2025-03-30,17,569,2.99%,9.85
2025-03-29,16,337,4.75%,7.14
2025-03-28,10,327,3.06%,7.84
2025-03-27,23,398,5.78%,7.29
2025-03-26,14,400,3.5%,7.23
2025-03-25,12,396,3.03%,8.09
2025-03-24,14,438,3.2%,7.58
2025-03-23,14,436,3.21%,7.24
2025-03-22,22,426,5.16%,7.53
2025-03-21,14,390,3.59%,7.38
2025-03-20,13,361,3.6%,8.03
2025-03-19,6,370,1.62%,8.38
2025-03-18,13,374,3.48%,7.98
2025-03-17,9,391,2.3%,8.44
2025-03-16,22,428,5.14%,8.05
2025-03-15,8,374,2.14%,9.41
2025-03-14,8,402,1.99%,8.38
2025-03-13,13,332,3.92%,7.36
2025-03-12,12,354,3.39%,9.35
2025-03-11,8,461,1.74%,10.07
2025-03-10,6,348,1.72%,7.72
2025-03-09,7,385,1.82%,9.5
2025-03-08,10,387,2.58%,8.79
2025-03-07,9,317,2.84%,8.19
2025-03-06,11,339,3.24%,9.18
2025-03-05,19,326,5.83%,8.06
2025-03-04,7,342,2.05%,7.61
2025-03-03,7,327,2.14%,8.88
2025-03-02,15,436,3.44%,8.76
2025-03-01,9,316,2.85%,8.94
2025-02-28,6,278,2.16%,8.62
2025-02-27,9,294,3.06%,8.11
2025-02-26,10,369,2.71%,6.95
2025-02-25,8,369,2.17%,7.72
2025-02-24,10,403,2.48%,7.86
2025-02-23,7,456,1.54%,8.39
2025-02-22,10,359,2.79%,6.98
2025-02-21,12,386,3.11%,8.13
2025-02-20,10,389,2.57%,7.86
2025-02-19,7,364,1.92%,7.61
2025-02-18,13,337,3.86%,8.55
2025-02-17,4,338,1.18%,8.52
2025-02-16,14,408,3.43%,9.31
2025-02-15,10,357,2.8%,8.57
2025-02-14,2,309,0.65%,9.41
2025-02-13,15,386,3.89%,8.05
2025-02-12,6,315,1.9%,8.67
2025-02-11,10,318,3.14%,8.22
2025-02-10,13,365,3.56%,8.8
2025-02-09,11,342,3.22%,9.46
2025-02-08,9,354,2.54%,9.1
2025-02-07,7,367,1.91%,8.9
2025-02-06,6,361,1.66%,9.18
2025-02-05,12,369,3.25%,7.96
2025-02-04,12,325,3.69%,8.37
2025-02-03,5,342,1.46%,8.69
2025-02-02,12,457,2.63%,8.23
2025-02-01,8,375,2.13%,7.86
2025-01-31,8,298,2.68%,9.53
2025-01-30,5,301,1.66%,7.89
2025-01-29,10,357,2.8%,8.82
2025-01-28,7,373,1.88%,7.62
2025-01-27,10,369,2.71%,8.21
2025-01-26,9,425,2.12%,9
2025-01-25,3,301,1%,8.18
2025-01-24,9,341,2.64%,8.67
2025-01-23,15,376,3.99%,7.43
2025-01-22,6,572,1.05%,10.63
2025-01-21,7,330,2.12%,8.61
2025-01-20,6,349,1.72%,8.6
2025-01-19,9,434,2.07%,8.12
2025-01-18,9,375,2.4%,7.85
2025-01-17,5,307,1.63%,8.06
2025-01-16,7,332,2.11%,7.57
2025-01-15,10,306,3.27%,8.29
2025-01-14,9,325,2.77%,7.89
2025-01-13,6,345,1.74%,7.54
2025-01-12,9,403,2.23%,7.21
2025-01-11,13,336,3.87%,8.4
2025-01-10,6,306,1.96%,7.35
2025-01-09,6,339,1.77%,7.97
2025-01-08,10,301,3.32%,9.45
2025-01-07,6,324,1.85%,8.35
2025-01-06,4,345,1.16%,7.76
2025-01-05,7,332,2.11%,8.47
2025-01-04,4,285,1.4%,8.56
2025-01-03,1,275,0.36%,7.73
2025-01-02,11,269,4.09%,7.6
2025-01-01,7,275,2.55%,7.96
2024-12-31,3,250,1.2%,7.12
2024-12-30,6,274,2.19%,7.5
2024-12-29,7,282,2.48%,7.7
2024-12-28,6,236,2.54%,8.86
2024-12-27,3,217,1.38%,7.92
2024-12-26,1,239,0.42%,8.61
2024-12-25,7,181,3.87%,7.59
2024-12-24,2,210,0.95%,9.57
2024-12-23,5,193,2.59%,9.3
2024-12-22,4,219,1.83%,7.68
2024-12-21,2,189,1.06%,10.69
2024-12-20,1,168,0.6%,7.67
2024-12-19,2,230,0.87%,9.4
2024-12-18,0,235,0%,11.37
2024-12-17,4,438,0.91%,8.8
2024-12-16,7,245,2.86%,8.05
2024-12-15,3,195,1.54%,8.78
2024-12-14,1,218,0.46%,7.56
2024-12-13,2,216,0.93%,7.76
2024-12-12,4,298,1.34%,8.31
2024-12-11,3,238,1.26%,6.64
2024-12-10,4,279,1.43%,7.67
2024-12-09,9,255,3.53%,8.53
2024-12-08,2,228,0.88%,10.15
2024-12-07,5,229,2.18%,9.62
2024-12-06,6,232,2.59%,9.74
2024-12-05,5,282,1.77%,8.47
2024-12-04,2,247,0.81%,8.34
2024-12-03,1,295,0.34%,8.66
2024-12-02,9,297,3.03%,8.16
2024-12-01,3,328,0.91%,8.63
2024-11-30,2,248,0.81%,8.68
2024-11-29,2,245,0.82%,7.1
2024-11-28,4,253,1.58%,8.56
2024-11-27,7,296,2.36%,8.82
2024-11-26,11,272,4.04%,10.01
2024-11-25,5,293,1.71%,9.74
2024-11-24,13,297,4.38%,9.69
2024-11-23,5,216,2.31%,8.37
2024-11-22,3,238,1.26%,7.71
2024-11-21,2,357,0.56%,9.32
2024-11-20,4,279,1.43%,11.3
2024-11-19,3,318,0.94%,7.69
2024-11-18,5,269,1.86%,9.16
2024-11-17,9,257,3.5%,8.41
2024-11-16,9,242,3.72%,8.03
2024-11-15,5,226,2.21%,9.03
2024-11-14,4,302,1.32%,8.26
2024-11-13,7,288,2.43%,8.92
2024-11-12,3,294,1.02%,8.79
2024-11-11,3,251,1.2%,7.15
2024-11-10,1,279,0.36%,9.34
2024-11-09,7,232,3.02%,8.11
2024-11-08,4,307,1.3%,9.12
2024-11-07,6,309,1.94%,9.34
2024-11-06,4,271,1.48%,9.76
2024-11-05,10,300,3.33%,7.38
2024-11-04,8,287,2.79%,8.94
2024-11-03,7,364,1.92%,7.8
2024-11-02,3,224,1.34%,7.69
2024-11-01,6,236,2.54%,6.95
2024-10-31,9,324,2.78%,7.72
2024-10-30,12,328,3.66%,7.32
2024-10-29,12,294,4.08%,8.97
2024-10-28,17,340,5%,7.67
2024-10-27,24,376,6.38%,7.06
2024-10-26,17,332,5.12%,7.91
2024-10-25,30,318,9.43%,6.73
2024-10-24,14,326,4.29%,8.06
2024-10-23,33,438,7.53%,7.57
2024-10-22,42,442,9.5%,6.49
2024-10-21,31,440,7.05%,7.3
2024-10-20,36,472,7.63%,6.79
2024-10-19,28,364,7.69%,7.3
2024-10-18,22,411,5.35%,8.42
2024-10-17,29,456,6.36%,7.45
2024-10-16,37,498,7.43%,6.59
2024-10-15,26,453,5.74%,7.36
2024-10-14,40,506,7.91%,6.62
2024-10-13,36,523,6.88%,6.44
2024-10-12,29,493,5.88%,6.7
2024-10-11,23,458,5.02%,7.32
2024-10-10,32,660,4.85%,6.96
2024-10-09,27,604,4.47%,6.8
2024-10-08,40,675,5.93%,6.9
2024-10-07,52,625,8.32%,6.65
2024-10-06,31,676,4.59%,7.61
2024-10-05,38,541,7.02%,6.78
2024-10-04,37,528,7.01%,7.24
2024-10-03,52,691,7.53%,7.3
2024-10-02,52,633,8.21%,7.09
2024-10-01,49,618,7.93%,6.91
2024-09-30,56,699,8.01%,6.36
2024-09-29,50,650,7.69%,6.34
2024-09-28,58,764,7.59%,6.52
2024-09-27,65,712,9.13%,6.66
2024-09-26,73,884,8.26%,6.48
2024-09-25,66,846,7.8%,6.43
2024-09-24,109,1137,9.59%,6.37
2024-09-23,79,971,8.14%,7.1
2024-09-22,73,964,7.57%,6.81
2024-09-21,69,897,7.69%,6.52
2024-09-20,83,1064,7.8%,6.25
2024-09-19,104,1457,7.14%,7.37
2024-09-18,99,1108,8.94%,6.52
2024-09-17,84,1083,7.76%,6.85
2024-09-16,69,1086,6.35%,6.66
2024-09-15,76,999,7.61%,6.68
2024-09-14,80,924,8.66%,6.64
2024-09-13,89,977,9.11%,6.64
2024-09-12,73,1096,6.66%,6.5
2024-09-11,97,1171,8.28%,6.59
2024-09-10,97,1218,7.96%,6.52
2024-09-09,79,1164,6.79%,6.24
2024-09-08,83,1307,6.35%,6.61
2024-09-07,99,1237,8%,6.37
2024-09-06,117,1294,9.04%,6.42
2024-09-05,105,1261,8.33%,6.48
2024-09-04,107,1277,8.38%,6.37
2024-09-03,104,1346,7.73%,6.39
2024-09-02,129,1338,9.64%,6.21
2024-09-01,126,1424,8.85%,6.31
2024-08-31,106,1178,9%,6.25
2024-08-30,107,1300,8.23%,6.24
2024-08-29,122,1483,8.23%,6.16
2024-08-28,119,1677,7.1%,6.45
2024-08-27,168,1815,9.26%,6.52
2024-08-26,185,2164,8.55%,6.61
2024-08-25,161,1876,8.58%,6.43
2024-08-24,131,1650,7.94%,6.61
2024-08-23,164,1791,9.16%,6.59
2024-08-22,204,1981,10.3%,6.39
2024-08-21,182,2205,8.25%,6.48
2024-08-20,231,2286,10.1%,6.4
2024-08-19,207,2081,9.95%,6.56
2024-08-18,202,2129,9.49%,6.53
2024-08-17,160,1903,8.41%,6.48
2024-08-16,166,1893,8.77%,6.54
2024-08-15,157,2034,7.72%,6.5
2024-08-14,220,2233,9.85%,6.52
2024-08-13,219,2429,9.02%,6.58
2024-08-12,221,2285,9.67%,6.44
2024-08-11,207,2317,8.93%,6.41
2024-08-10,160,1980,8.08%,6.8
2024-08-09,214,2184,9.8%,6.69
2024-08-08,186,2307,8.06%,6.82
2024-08-07,233,2340,9.96%,6.63
2024-08-06,256,2389,10.72%,6.89
2024-08-05,194,2193,8.85%,6.7
2024-08-04,232,2246,10.33%,6.52
2024-08-03,212,2026,10.46%,6.46
2024-08-02,162,1897,8.54%,6.82
2024-08-01,185,2008,9.21%,6.79
2024-07-31,189,2118,8.92%,6.8
2024-07-30,227,2246,10.11%,6.71
2024-07-29,171,2013,8.49%,6.83
2024-07-28,194,2189,8.86%,7.06
2024-07-27,184,2083,8.83%,6.81
2024-07-26,193,1991,9.69%,6.56
2024-07-25,258,2345,11%,6.45
2024-07-24,230,2284,10.07%,6.44
2024-07-23,239,2074,11.52%,6.37
2024-07-22,219,2064,10.61%,6.76
2024-07-21,176,2048,8.59%,6.86
2024-07-20,163,1783,9.14%,7
2024-07-19,179,1823,9.82%,6.85
2024-07-18,231,2439,9.47%,7.13
2024-07-17,176,1955,9%,7.01
2024-07-16,195,2094,9.31%,6.66
2024-07-15,144,1761,8.18%,7.07
2024-07-14,152,1567,9.7%,6.97
2024-07-13,167,1638,10.2%,7.16
2024-07-12,156,1588,9.82%,7.02
2024-07-11,168,1859,9.04%,6.97
2024-07-10,145,1679,8.64%,6.8
2024-07-09,170,1829,9.29%,6.67
2024-07-08,164,1869,8.77%,6.99
2024-07-07,169,1842,9.17%,6.94
2024-07-06,145,1468,9.88%,6.89
2024-07-05,132,1515,8.71%,6.93
2024-07-04,151,1746,8.65%,6.89
2024-07-03,140,1734,8.07%,6.93
2024-07-02,161,1788,9%,7.19
2024-07-01,142,1610,8.82%,7
2024-06-30,137,1614,8.49%,7.27
2024-06-29,132,1593,8.29%,7.31
2024-06-28,131,1504,8.71%,7.03
2024-06-27,124,1505,8.24%,7.25
2024-06-26,118,1509,7.82%,7.47
2024-06-25,102,1482,6.88%,7.39
2024-06-24,129,1539,8.38%,7.51
2024-06-23,109,1728,6.31%,7.61
2024-06-22,104,1414,7.36%,7.16
2024-06-21,79,1333,5.93%,7.39
2024-06-20,98,1264,7.75%,7.07
2024-06-19,103,1327,7.76%,7.25
2024-06-18,126,1481,8.51%,7.31
2024-06-17,105,1348,7.79%,7.09
2024-06-16,93,1414,6.58%,7.17
2024-06-15,93,1251,7.43%,6.9
2024-06-14,100,1139,8.78%,7.16
2024-06-13,78,1201,6.49%,7.32
2024-06-12,91,1490,6.11%,7.51
2024-06-11,92,2216,4.15%,8.02
2024-06-10,99,1400,7.07%,7.51
2024-06-09,118,1430,8.25%,7.37
2024-06-08,99,1160,8.53%,7.32
2024-06-07,100,1228,8.14%,7.62
2024-06-06,84,1183,7.1%,8.25
2024-06-05,96,1113,8.63%,7.81
2024-06-04,85,1219,6.97%,8.19
2024-06-03,106,1339,7.92%,7.65
2024-06-02,83,1217,6.82%,7.99
2024-06-01,86,1111,7.74%,8.02
2024-05-31,79,996,7.93%,8.24
2024-05-30,101,1171,8.63%,7.58
2024-05-29,98,1120,8.75%,7.63
2024-05-28,83,1053,7.88%,7.81
2024-05-27,77,1135,6.78%,7.86
2024-05-26,82,1028,7.98%,7.72
2024-05-25,71,871,8.15%,7.85
2024-05-24,55,836,6.58%,8.19
2024-05-23,54,1039,5.2%,8.82
2024-05-22,56,869,6.44%,7.86
2024-05-21,66,995,6.63%,8.5
2024-05-20,64,919,6.96%,8.64
2024-05-19,65,892,7.29%,8.49
2024-05-18,60,987,6.08%,8.72
2024-05-17,51,690,7.39%,8.97
2024-05-16,44,673,6.54%,8.67
2024-05-15,64,701,9.13%,8.39
2024-05-14,47,781,6.02%,8.51
2024-05-13,43,791,5.44%,8.28
2024-05-12,54,809,6.67%,8.6
2024-05-11,54,732,7.38%,8.5
2024-05-10,60,739,8.12%,7.92
2024-05-09,64,761,8.41%,8.09
2024-05-08,28,696,4.02%,8.82
2024-05-07,77,894,8.61%,7.83
2024-05-06,92,984,9.35%,7.85
2024-05-05,60,750,8%,8.4
2024-05-04,60,735,8.16%,9.16
2024-05-03,52,740,7.03%,8.94
2024-05-02,53,667,7.95%,9.15
2024-05-01,31,635,4.88%,8.73
2024-04-30,52,648,8.02%,8.84
2024-04-29,34,543,6.26%,8.99
2024-04-28,30,574,5.23%,8.37
2024-04-27,27,468,5.77%,8.15
2024-04-26,29,453,6.4%,8.47
2024-04-25,17,472,3.6%,8.96
2024-04-24,27,529,5.1%,8.5
2024-04-23,31,517,6%,8.41
2024-04-22,18,453,3.97%,8.33
2024-04-21,37,560,6.61%,8.26
2024-04-20,25,464,5.39%,9.78
2024-04-19,21,428,4.91%,8.54
2024-04-18,16,407,3.93%,9.67
2024-04-17,15,382,3.93%,9.42
2024-04-16,25,429,5.83%,8.44
2024-04-15,22,452,4.87%,9.07
2024-04-14,30,490,6.12%,8.85
2024-04-13,15,371,4.04%,9.37
2024-04-12,19,374,5.08%,9.27
2024-04-11,8,419,1.91%,9.29
2024-04-10,28,420,6.67%,9.6
2024-04-09,28,459,6.1%,9.49
2024-04-08,22,405,5.43%,10.14
2024-04-07,17,446,3.81%,8.65
2024-04-06,34,401,8.48%,9.04
2024-04-05,17,372,4.57%,9.79
2024-04-04,17,383,4.44%,9.36
2024-04-03,14,318,4.4%,9.62
2024-04-02,20,374,5.35%,9.24
2024-04-01,15,423,3.55%,8.57
2024-03-31,20,390,5.13%,9.85
2024-03-30,13,336,3.87%,9.18
2024-03-29,13,360,3.61%,9.16
2024-03-28,15,338,4.44%,9.76
2024-03-27,16,308,5.19%,9.25
2024-03-26,15,336,4.46%,8.97
2024-03-25,8,357,2.24%,10.68
2024-03-24,15,348,4.31%,10.09
2024-03-23,12,323,3.72%,10.16
2024-03-22,9,261,3.45%,11.54
2024-03-21,9,356,2.53%,11.48
2024-03-20,15,356,4.21%,9.48
2024-03-19,7,318,2.2%,10.28
2024-03-18,12,281,4.27%,8.02
2024-03-17,5,333,1.5%,9.96
2024-03-16,14,325,4.31%,9.56
2024-03-15,8,276,2.9%,9.68
2024-03-14,5,310,1.61%,9.92
2024-03-13,8,292,2.74%,9.17
2024-03-12,12,314,3.82%,9.62
2024-03-11,6,313,1.92%,9.95
2024-03-10,15,412,3.64%,9.66
2024-03-09,3,301,1%,10.18
2024-03-08,7,329,2.13%,10.11
2024-03-07,3,262,1.15%,9.65
2024-03-06,3,266,1.13%,9.65
2024-03-05,6,295,2.03%,9.52
2024-03-04,2,340,0.59%,9.66
2024-03-03,10,344,2.91%,9.66
